                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                  1.313,                0.61955,                 0.9199,                0.70749,                0.61419,                0.64282,                0.35926,                 1.3528,                0.66246,                0.94394,             0.00093385,             0.00093385,             0.00093385
                     73,                 1.3067,                 0.6226,                0.91603,                0.68829,                0.60729,                0.62064,                0.34827,                  1.372,                0.67934,                0.94082,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.2926,                0.61128,                0.92027,                0.67536,                0.61854,                0.62619,                0.35418,                 1.3617,                0.67329,                0.94568,              0.0009197,              0.0009197,              0.0009197
                     75,                 1.2785,                0.60266,                0.91995,                0.68678,                0.63164,                0.63595,                0.35864,                 1.3415,                0.66615,                0.93825,             0.00091263,             0.00091263,             0.00091263
                     76,                 1.3035,                0.61717,                0.91773,                0.70332,                0.62836,                0.63073,                0.35836,                 1.3512,                0.66993,                0.94381,             0.00090556,             0.00090556,             0.00090556
                     77,                 1.3179,                0.61905,                0.91562,                 0.6876,                0.63432,                0.63248,                0.35093,                 1.3596,                0.68098,                 0.9448,             0.00089848,             0.00089848,             0.00089848
                     78,                  1.309,                0.62352,                0.91092,                0.68673,                0.64109,                0.63557,                0.36078,                 1.3532,                0.65798,                0.94282,             0.00089141,             0.00089141,             0.00089141
                     79,                 1.2942,                0.61543,                0.91709,                0.70881,                0.62081,                0.64248,                0.36324,                 1.3493,                0.66168,                0.94375,             0.00088434,             0.00088434,             0.00088434
                     80,                 1.2977,                0.61248,                0.91781,                0.68601,                0.62549,                0.62666,                0.35125,                 1.3634,                0.66177,                0.94364,             0.00087726,             0.00087726,             0.00087726
                     81,                 1.2423,                0.59323,                0.91085,                0.70593,                0.64576,                0.64347,                0.35784,                 1.3578,                0.66865,                 0.9474,             0.00087019,             0.00087019,             0.00087019
                     82,                 1.3092,                0.62151,                0.91544,                0.67623,                0.63125,                0.63099,                0.35343,                 1.3635,                0.67141,                0.94832,             0.00086312,             0.00086312,             0.00086312
